age_recoded,male,race_recoded,education_recoded,mrp_subgroup_estimate,mrp_subgroup_estimate_se
1,False,1,1,0.4815284695440731,0.06889912158238683
1,False,1,3,0.34385330431226946,0.050699403980630206
1,False,2,1,0.06977297093493846,0.031181543849102426
1,False,2,3,0.04026481093858478,0.017697771011277938
1,False,3,1,0.18347652508987983,0.08675893908322445
1,False,3,3,0.11343240710891939,0.05713117497791631
1,False,4,1,0.38711331869862287,0.08347338239583946
1,False,4,3,0.2632781624917859,0.06038007655196498
1,False,9,1,0.2899344267689478,0.09658921304875967
1,False,9,3,0.18880196104964356,0.06945368871823678
1,True,1,1,0.5825703901570213,0.06503807993733247
1,True,1,3,0.4410501477822808,0.05072281972735362
1,True,2,1,0.10094367613185594,0.04235452670270275
1,True,2,3,0.059183108395772656,0.024727071886544036
1,True,3,1,0.24953132387059226,0.10660689689027847
1,True,3,3,0.16005396973716202,0.0746053974402104
1,True,4,1,0.48564713570841667,0.08379509856238479
1,True,4,3,0.34867076148953036,0.0653942039201481
1,True,9,1,0.3769751287808545,0.10679865196635926
1,True,9,3,0.2571410708676931,0.0829090370604126
2,False,1,1,0.6423989443643778,0.05433814589533059
2,False,1,3,0.5037647125477295,0.040611642046719534
2,False,2,1,0.12509780416749414,0.04803055740596258
2,False,2,3,0.07424428340415559,0.028434579306078723
2,False,3,1,0.2960530504470995,0.11592207994376426
2,False,3,3,0.19478589521277934,0.08498705803735832
2,False,4,1,0.547368501751498,0.08188997039853596
2,False,4,3,0.40723457608876645,0.06788313195641271
2,False,9,1,0.43492252258516784,0.10708696502900218
2,False,9,3,0.3058381266882068,0.0875336966427068
2,True,1,1,0.7300109539195596,0.04832739133924243
2,True,1,3,0.6051653962210172,0.039300353597517323
2,True,2,1,0.1763909503163922,0.06312677059860072
2,True,2,3,0.10754398672186698,0.03934285009150378
2,True,3,1,0.38257305908288175,0.13183287152905457
2,True,3,3,0.2642347758828203,0.10480987730450923
2,True,4,1,0.6443443007471881,0.07508807503819384
2,True,4,3,0.5077856371944626,0.06808722075557053
2,True,9,1,0.5333702604126653,0.10761505867087089
2,True,9,3,0.39624820180685505,0.09623037455949862
3,False,1,1,0.6375242585179837,0.04863957182719315
3,False,1,3,0.49804346327483157,0.036684945919284354
3,False,2,1,0.12215282938505995,0.04546981285758238
3,False,2,3,0.07252327744860218,0.02726793847767816
3,False,3,1,0.29127399921927427,0.11402541230779091
3,False,3,3,0.19133652281207625,0.0839519894863301
3,False,4,1,0.5419073255908333,0.07881927488940685
3,False,4,3,0.40171911263412136,0.06674308437995746
3,False,9,1,0.42955705970792213,0.10646192434139287
3,False,9,3,0.3014072914000165,0.08823328514826642
3,True,1,1,0.7257404934801037,0.04623517557277152
3,True,1,3,0.5996428839744533,0.040431399042905984
3,True,2,1,0.17288582018635154,0.06128179801779838
3,True,2,3,0.10540687585559116,0.03873434422667511
3,True,3,1,0.3774658830676838,0.1310892761187575
3,True,3,3,0.26024130093305764,0.10470040468800133
3,True,4,1,0.6392844000577766,0.07450139509215452
3,True,4,3,0.5021211720354929,0.06974159401376359
3,True,9,1,0.5278599959553191,0.10910291562005393
3,True,9,3,0.3912645852536719,0.09915598850739492
